batch_idx,mc_draw,accuracy,fault_layer,fault_location,fault_category,fault_type,fault_value
40,96,0.5,2,N1,Neuron,static,3.0
40,97,1.0,2,In3_Out0,Connection,stuck_on,stuck_on
40,98,0.5,1,In2_Out1,Connection,stuck_on,stuck_on
40,99,0.0,2,N0,Neuron,static,3.0
41,0,1.0,0,N3,Neuron,static,0.0
41,1,0.5,1,N1,Neuron,static,3.0
41,2,1.0,1,In4_Out2,Connection,stuck_off,stuck_off
41,3,0.0,1,N3,Neuron,static,2.0
41,4,1.0,1,In3_Out2,Connection,stuck_on,stuck_on
41,5,0.5,2,In1_Out1,Connection,stuck_on,stuck_on
41,6,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
41,7,0.5,2,In1_Out0,Connection,stuck_on,stuck_on
41,8,1.0,1,In1_Out1,Connection,stuck_off,stuck_off
41,9,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
41,10,0.5,2,N1,Neuron,static,3.0
41,11,1.0,1,In1_Out1,Connection,stuck_on,stuck_on
41,12,0.5,1,N0,Neuron,static,2.0
41,13,1.0,1,In4_Out2,Connection,stuck_on,stuck_on
41,14,1.0,2,In1_Out0,Connection,stuck_off,stuck_off
41,15,0.0,2,In3_Out2,Connection,stuck_on,stuck_on
41,16,1.0,2,In0_Out0,Connection,stuck_off,stuck_off
41,17,1.0,1,N0,Neuron,static,0.0
41,18,0.5,2,In2_Out0,Connection,stuck_on,stuck_on
41,19,0.0,2,In2_Out2,Connection,stuck_off,stuck_off
41,20,1.0,0,In0_Out1,Connection,stuck_on,stuck_on
41,21,0.0,0,N3,Neuron,static,2.0
41,22,1.0,1,In2_Out1,Connection,stuck_off,stuck_off
41,23,0.5,2,N0,Neuron,dynamic,Idx_1
41,24,0.5,1,In2_Out4,Connection,stuck_on,stuck_on
41,25,1.0,0,In0_Out3,Connection,stuck_on,stuck_on
41,26,1.0,1,In3_Out0,Connection,stuck_on,stuck_on
41,27,1.0,2,In2_Out2,Connection,stuck_on,stuck_on
41,28,1.0,0,In0_Out2,Connection,stuck_on,stuck_on
41,29,1.0,0,In0_Out3,Connection,stuck_off,stuck_off
41,30,0.5,1,N1,Neuron,static,3.0
41,31,1.0,1,In2_Out0,Connection,stuck_off,stuck_off
41,32,1.0,1,In3_Out3,Connection,stuck_on,stuck_on
41,33,1.0,1,In2_Out3,Connection,stuck_off,stuck_off
41,34,1.0,1,In1_Out3,Connection,stuck_on,stuck_on
41,35,1.0,1,In1_Out2,Connection,stuck_on,stuck_on
41,36,1.0,0,In0_Out3,Connection,stuck_off,stuck_off
41,37,0.5,2,In3_Out0,Connection,stuck_on,stuck_on
41,38,0.0,1,N3,Neuron,static,2.0
41,39,1.0,1,In3_Out2,Connection,stuck_on,stuck_on
41,40,1.0,0,In0_Out0,Connection,stuck_on,stuck_on
41,41,0.5,1,In1_Out4,Connection,stuck_on,stuck_on
41,42,1.0,2,In4_Out2,Connection,stuck_off,stuck_off
41,43,0.5,1,N4,Neuron,dynamic,Idx_2
41,44,0.5,1,In3_Out4,Connection,stuck_off,stuck_off
41,45,0.5,2,N0,Neuron,dynamic,Idx_0
41,46,0.0,2,In3_Out2,Connection,stuck_on,stuck_on
41,47,1.0,1,In2_Out2,Connection,stuck_off,stuck_off
41,48,1.0,2,In3_Out1,Connection,stuck_off,stuck_off
41,49,1.0,2,N2,Neuron,dynamic,Idx_0
41,50,0.5,0,N1,Neuron,static,2.0
41,51,0.5,1,In1_Out4,Connection,stuck_on,stuck_on
41,52,0.5,1,N0,Neuron,dynamic,Idx_2
41,53,1.0,1,In0_Out4,Connection,stuck_off,stuck_off
41,54,1.0,0,N1,Neuron,dynamic,Idx_0
41,55,1.0,2,In4_Out2,Connection,stuck_off,stuck_off
41,56,1.0,1,N0,Neuron,dynamic,Idx_0
41,57,0.5,2,In2_Out0,Connection,stuck_on,stuck_on
41,58,1.0,1,In1_Out1,Connection,stuck_off,stuck_off
41,59,0.5,1,N4,Neuron,dynamic,Idx_0
41,60,1.0,1,In1_Out2,Connection,stuck_off,stuck_off
41,61,1.0,2,N2,Neuron,dynamic,Idx_0
41,62,0.5,2,In3_Out0,Connection,stuck_on,stuck_on
41,63,1.0,1,In0_Out4,Connection,stuck_on,stuck_on
41,64,0.0,2,In2_Out2,Connection,stuck_off,stuck_off
41,65,0.0,2,In3_Out2,Connection,stuck_on,stuck_on
41,66,1.0,2,In3_Out2,Connection,stuck_off,stuck_off
41,67,1.0,2,In2_Out2,Connection,stuck_on,stuck_on
41,68,0.5,2,In2_Out0,Connection,stuck_on,stuck_on
41,69,0.5,2,N0,Neuron,static,0.0
41,70,1.0,1,In1_Out2,Connection,stuck_on,stuck_on
41,71,1.0,2,In0_Out2,Connection,stuck_off,stuck_off
41,72,1.0,1,In3_Out3,Connection,stuck_on,stuck_on
41,73,1.0,1,In1_Out1,Connection,stuck_off,stuck_off
41,74,0.0,0,N4,Neuron,static,2.0
41,75,0.0,2,In3_Out2,Connection,stuck_on,stuck_on
41,76,0.5,2,In4_Out1,Connection,stuck_on,stuck_on
41,77,1.0,1,In3_Out3,Connection,stuck_off,stuck_off
41,78,0.0,2,In3_Out2,Connection,stuck_on,stuck_on
41,79,1.0,1,In3_Out2,Connection,stuck_off,stuck_off
