run,method,dataset,metric,value,roc_mode
PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,test_roc_micro_auc_mode_none,0.903349995613098,none
PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,test_roc_micro_auc_mode_single,0.6882500052452087,single
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,val_loss,0.7260082364082336,
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,val_power,0.006541547365486622,
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_roc_micro_auc,0.4742647111415863,generic
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.4742647111415863,none
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,val_loss,0.7273262739181519,
PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,val_power,0.002008403418585658,
PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_roc_micro_auc,0.5698529481887817,generic
PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.5698529481887817,none
PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_acc_mode_none,0.6100000143051147,
PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_acc_mode_single,0.5699999928474426,
PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,val_loss,1.0704066753387451,
PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,val_power,0.0010557257337495685,
PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_roc_micro_auc,0.7451000213623047,generic
PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_roc_micro_auc_mode_none,0.7451000213623047,none
PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_roc_micro_auc_mode_single,0.7508500218391418,single
PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_acc_mode_none,0.7200000286102295,
PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_acc_mode_single,0.6399999856948853,
PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,val_loss,1.0830416679382324,
PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,val_power,0.014805100858211516,
PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_roc_micro_auc,0.8317499756813049,generic
PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_roc_micro_auc_mode_none,0.8317499756813049,none
PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_roc_micro_auc_mode_single,0.7919999957084656,single
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,val_loss,0.7254933714866638,
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,val_power,0.0008296867017634213,
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_roc_micro_auc,0.4485294222831726,generic
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.4485294222831726,none
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.8161764740943909,single
PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,val_loss,0.7259235382080078,
PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,val_power,0.0007143441471271217,
PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_roc_micro_auc,0.625,generic
PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.625,none
PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.26838234066963196,single
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,val_loss,0.7223876714706421,
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,val_power,0.0008134959498420358,
