,run,method,dataset,metric,value,roc_mode
52,PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,val_power,0.0051964567974209785,
53,PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,test_roc_micro_auc,0.903349995613098,generic
54,PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,test_roc_micro_auc_mode_none,0.903349995613098,none
55,PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,test_roc_micro_auc_mode_single,0.6882500052452087,single
56,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
57,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
58,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,val_loss,0.7260082364082336,
59,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,val_power,0.006541547365486622,
60,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_roc_micro_auc,0.4742647111415863,generic
61,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.4742647111415863,none
62,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
63,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
64,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
65,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,val_loss,0.7273262739181519,
66,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,val_power,0.002008403418585658,
67,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_roc_micro_auc,0.5698529481887817,generic
68,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.5698529481887817,none
69,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
70,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_acc_mode_none,0.6100000143051147,
71,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_acc_mode_single,0.5699999928474426,
72,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,val_loss,1.0704066753387451,
73,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,val_power,0.0010557257337495685,
74,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_roc_micro_auc,0.7451000213623047,generic
75,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_roc_micro_auc_mode_none,0.7451000213623047,none
76,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_roc_micro_auc_mode_single,0.7508500218391418,single
77,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_acc_mode_none,0.7200000286102295,
78,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_acc_mode_single,0.6399999856948853,
79,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,val_loss,1.0830416679382324,
80,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,val_power,0.014805100858211516,
81,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_roc_micro_auc,0.8317499756813049,generic
82,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_roc_micro_auc_mode_none,0.8317499756813049,none
83,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_roc_micro_auc_mode_single,0.7919999957084656,single
84,PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
85,PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
86,PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,val_loss,0.7254933714866638,
87,PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,val_power,0.0008296867017634213,
88,PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_roc_micro_auc,0.4485294222831726,generic
89,PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.4485294222831726,none
90,PSNN_wSurrGPT_woFaults_acuteinflammation_run4,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.8161764740943909,single
91,PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426,
92,PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426,
93,PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,val_loss,0.7259235382080078,
94,PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,val_power,0.0007143441471271217,
95,PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_roc_micro_auc,0.625,generic
96,PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.625,none
97,PSNN_wSurrGPT_wFaults_acuteinflammation_run4,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.26838234066963196,single
98,PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
99,PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
100,PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,val_loss,0.7223876714706421,
101,PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,val_power,0.0008134959498420358,
102,PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_roc_micro_auc,0.5,generic
103,PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.5,none
104,PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
105,PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_acc_mode_none,0.7200000286102295,
106,PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_acc_mode_single,0.5099999904632568,
107,PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,val_loss,1.0715845823287964,
108,PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,val_power,0.002452592831104994,
109,PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_roc_micro_auc,0.8579999804496765,generic
110,PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_roc_micro_auc_mode_none,0.8579999804496765,none
111,PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_roc_micro_auc_mode_single,0.7674000263214111,single
112,PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_acc_mode_none,0.41999998688697815,
113,PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_acc_mode_single,0.4300000071525574,
