,run,method,dataset,metric,value
55,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574
56,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,val_power,0.002531590638682246
57,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574
58,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574
59,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,val_power,0.0005378720816224813
60,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_acc_mode_none,0.5899999737739563
61,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_acc_mode_single,0.5799999833106995
62,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,val_power,0.0030724238604307175
63,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_acc_mode_none,0.7799999713897705
64,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_acc_mode_single,0.4099999964237213
65,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,val_power,0.009820006787776949
66,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_acc_mode_none,0.797468364238739
67,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_acc_mode_single,0.797468364238739
68,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,val_power,0.0018751625902950764
69,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_acc_mode_none,0.8101266026496887
70,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,test_acc_mode_single,0.7848101258277893
71,PSNN_wSurrGPT_wFaults_balancescale_run1,wFaults,balancescale,val_power,0.0037914987187832594
72,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_acc_mode_none,0.6899999976158142
73,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,test_acc_mode_single,0.4600000083446502
74,PSNN_wSurrGPT_woFaults_cbf_run6,woFaults,cbf,val_power,0.0035734432749450207
75,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_acc_mode_none,0.7599999904632568
76,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,test_acc_mode_single,0.6100000143051147
77,PSNN_wSurrGPT_wFaults_cbf_run6,wFaults,cbf,val_power,0.004124445375055075
78,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
79,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
80,PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,woFaults,distalphalanxtw,val_power,0.006647759582847357
81,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
82,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
83,PSNN_wSurrGPT_wFaults_distalphalanxtw_run1,wFaults,distalphalanxtw,val_power,0.015040972270071508
84,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_acc_mode_none,0.8481012582778931
85,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,test_acc_mode_single,0.8227847814559937
