run_name,fault_mode,power_usage
PSNN_wSurrGPT_wFaults_powercons_run6,no_fault,0.0018793648341670632
PSNN_wSurrGPT_wFaults_seeds_run1,single_fault,3.174573303112993e-05
PSNN_wSurrGPT_wFaults_seeds_run1,no_fault,3.001846926053986e-05
PSNN_wSurrGPT_wFaults_seeds_run2,single_fault,0.0003741445514606312
PSNN_wSurrGPT_wFaults_seeds_run2,no_fault,0.00010151020251214504
PSNN_wSurrGPT_wFaults_seeds_run3,single_fault,2.235151459899498e-05
PSNN_wSurrGPT_wFaults_seeds_run3,no_fault,1.6667258023517206e-05
PSNN_wSurrGPT_wFaults_seeds_run4,single_fault,8.256423971033655e-05
PSNN_wSurrGPT_wFaults_seeds_run4,no_fault,8.250376413343474e-05
PSNN_wSurrGPT_wFaults_seeds_run5,single_fault,0.001706157869193703
PSNN_wSurrGPT_wFaults_seeds_run5,no_fault,0.0016819158336147666
PSNN_wSurrGPT_wFaults_selfregulationscp2_run1,single_fault,0.0002806698874337599
PSNN_wSurrGPT_wFaults_selfregulationscp2_run1,no_fault,0.00025633437326177955
PSNN_wSurrGPT_wFaults_selfregulationscp2_run2,single_fault,0.00010607309923216235
PSNN_wSurrGPT_wFaults_selfregulationscp2_run2,no_fault,0.00010204568025073968
PSNN_wSurrGPT_wFaults_selfregulationscp2_run3,single_fault,7.187071678345091e-05
PSNN_wSurrGPT_wFaults_selfregulationscp2_run3,no_fault,7.107192141120322e-05
PSNN_wSurrGPT_wFaults_selfregulationscp2_run4,single_fault,7.411102942569414e-05
PSNN_wSurrGPT_wFaults_selfregulationscp2_run4,no_fault,4.9806862080004066e-05
PSNN_wSurrGPT_wFaults_selfregulationscp2_run5,single_fault,8.910012656997424e-05
PSNN_wSurrGPT_wFaults_selfregulationscp2_run5,no_fault,7.790607560309581e-05
PSNN_wSurrGPT_wFaults_slope_run1,single_fault,0.000744468328775838
PSNN_wSurrGPT_wFaults_slope_run1,no_fault,0.0007110961596481502
PSNN_wSurrGPT_wFaults_slope_run2,single_fault,4.573764981614658e-05
PSNN_wSurrGPT_wFaults_slope_run2,no_fault,3.8213243897189386e-05
PSNN_wSurrGPT_wFaults_slope_run3,single_fault,0.00042688124085543677
PSNN_wSurrGPT_wFaults_slope_run3,no_fault,0.00040918809827417135
PSNN_wSurrGPT_wFaults_slope_run4,single_fault,0.00025757139082998036
PSNN_wSurrGPT_wFaults_slope_run4,no_fault,0.0002430446693324484
PSNN_wSurrGPT_wFaults_slope_run5,single_fault,4.1627635073382405e-05
PSNN_wSurrGPT_wFaults_slope_run5,no_fault,3.763093445741106e-05
PSNN_wSurrGPT_wFaults_tictactoe_run1,single_fault,0.0005766438349382952
PSNN_wSurrGPT_wFaults_tictactoe_run1,no_fault,0.0005706536176148802
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,single_fault,1.141161446867045e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run1,no_fault,9.887846317724325e-06
PSNN_wSurrGPT_woFaults_acuteinflammation_run2,single_fault,5.573098387685604e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run2,no_fault,4.17441624449566e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,single_fault,2.652427665452706e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run3,no_fault,2.3521457478636876e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,single_fault,6.17317247815663e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run4,no_fault,5.032246917835437e-05
