dataset,method,mean,std
acuteinflammation,no_fault,0.6800000071525574,0.0
acuteinflammation,single_fault,0.5600000023841858,0.20784610516732713
balancescale,no_fault,0.8059071699778239,0.014616440295298834
balancescale,single_fault,0.8354430397351583,0.04384938971141195
cbf,no_fault,0.5699999928474426,0.009999990463256836
cbf,single_fault,0.6099999944368998,0.030000001192097815
distalphalanxtw,no_fault,0.4600000083446502,0.0
distalphalanxtw,single_fault,0.4600000083446502,0.0
energyy1,no_fault,0.8481012582778931,0.0
energyy1,single_fault,0.8481012582778931,0.0
energyy2,no_fault,0.7890295386314392,0.026350224513210212
energyy2,single_fault,0.74683545033137,0.04384938971141193
freezersmalltrain,no_fault,0.5133333305517832,0.03055051776991142
freezersmalltrain,single_fault,0.5066666503747305,0.023094005949798966
gunpointmaleversusfemale,no_fault,0.6996337175369263,0.044411556521297545
gunpointmaleversusfemale,single_fault,0.6996337175369263,0.035324725956727386
gunpointoldversusyoung,no_fault,0.970695972442627,0.027655069543097238
gunpointoldversusyoung,single_fault,0.9743589758872986,0.044411556521297545
iris,no_fault,0.3440860112508138,0.018624201676878924
iris,single_fault,0.3333333233992259,0.018624201676878935
powercons,no_fault,0.5046296318372091,0.01603751512476911
powercons,single_fault,0.5879629453023275,0.02121563833378803
proximalphalanxoutlinecorrect,no_fault,0.6600000262260437,0.0
proximalphalanxoutlinecorrect,single_fault,0.6600000262260437,0.0
seeds,no_fault,0.3488372166951497,0.1611210133582113
seeds,single_fault,0.25581395626068115,0.0
selfregulationscp2,no_fault,0.5263158082962036,0.0
selfregulationscp2,single_fault,0.5263158082962036,0.0
slope,no_fault,0.5,0.0
slope,single_fault,0.5,0.0
tictactoe,no_fault,0.7679324944814047,0.029232915003355404
tictactoe,single_fault,0.7046413620313009,0.03867153110838995
vertebralcolumn2clases,no_fault,0.6349206566810608,0.0
vertebralcolumn2clases,single_fault,0.6349206566810608,0.0
