,run,method,dataset,metric,value
342,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run1,wFaults,gunpointmaleversusfemale,test_acc_mode_none,0.7692307829856873
343,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run1,wFaults,gunpointmaleversusfemale,test_acc_mode_single,0.7142857313156128
344,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run1,wFaults,gunpointmaleversusfemale,val_power,0.003016049973666668
345,PSNN_wSurrGPT_woFaults_energyy2_run1,woFaults,energyy2,test_acc_mode_none,0.5189873576164246
346,PSNN_wSurrGPT_woFaults_energyy2_run1,woFaults,energyy2,test_acc_mode_single,0.5189873576164246
347,PSNN_wSurrGPT_woFaults_energyy2_run1,woFaults,energyy2,val_power,0.005175161641091108
348,PSNN_wSurrGPT_wFaults_energyy2_run1,wFaults,energyy2,test_acc_mode_none,0.7215189933776855
349,PSNN_wSurrGPT_wFaults_energyy2_run1,wFaults,energyy2,test_acc_mode_single,0.7215189933776855
350,PSNN_wSurrGPT_wFaults_energyy2_run1,wFaults,energyy2,val_power,0.0031946757808327675
351,PSNN_wSurrGPT_wFaults_iris_run1,wFaults,iris,test_acc_mode_none,0.32258063554763794
352,PSNN_wSurrGPT_wFaults_iris_run1,wFaults,iris,test_acc_mode_single,0.32258063554763794
353,PSNN_wSurrGPT_wFaults_iris_run1,wFaults,iris,val_power,0.0008772516157478094
354,PSNN_wSurrGPT_woFaults_iris_run1,woFaults,iris,test_acc_mode_none,0.32258063554763794
355,PSNN_wSurrGPT_woFaults_iris_run1,woFaults,iris,test_acc_mode_single,0.32258063554763794
356,PSNN_wSurrGPT_woFaults_iris_run1,woFaults,iris,val_power,0.0021852049976587296
357,PSNN_wSurrGPT_woFaults_iris_run2,woFaults,iris,test_acc_mode_none,0.32258063554763794
358,PSNN_wSurrGPT_woFaults_iris_run2,woFaults,iris,test_acc_mode_single,0.35483869910240173
359,PSNN_wSurrGPT_woFaults_iris_run2,woFaults,iris,val_power,0.153069406747818
360,PSNN_wSurrGPT_wFaults_iris_run2,wFaults,iris,test_acc_mode_none,0.32258063554763794
361,PSNN_wSurrGPT_wFaults_iris_run2,wFaults,iris,test_acc_mode_single,0.32258063554763794
362,PSNN_wSurrGPT_wFaults_iris_run2,wFaults,iris,val_power,0.0009393332875333726
363,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run2,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
364,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run2,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
365,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run2,wFaults,proximalphalanxoutlinecorrect,val_power,0.0007786500500515103
366,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run2,woFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6263736486434937
367,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run2,woFaults,gunpointmaleversusfemale,test_acc_mode_single,0.6593406796455383
368,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run2,woFaults,gunpointmaleversusfemale,val_power,0.0017668012296780944
369,PSNN_wSurrGPT_wFaults_freezersmalltrain_run2,wFaults,freezersmalltrain,test_acc_mode_none,0.4600000083446502
370,PSNN_wSurrGPT_wFaults_freezersmalltrain_run2,wFaults,freezersmalltrain,test_acc_mode_single,0.5199999809265137
371,PSNN_wSurrGPT_wFaults_freezersmalltrain_run2,wFaults,freezersmalltrain,val_power,0.0007985337288118899
372,PSNN_wSurrGPT_woFaults_freezersmalltrain_run2,woFaults,freezersmalltrain,test_acc_mode_none,0.4600000083446502
373,PSNN_wSurrGPT_woFaults_freezersmalltrain_run2,woFaults,freezersmalltrain,test_acc_mode_single,0.4600000083446502
374,PSNN_wSurrGPT_woFaults_freezersmalltrain_run2,woFaults,freezersmalltrain,val_power,0.0005784962559118867
375,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run2,wFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6483516693115234
376,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run2,wFaults,gunpointmaleversusfemale,test_acc_mode_single,0.5384615659713745
377,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run2,wFaults,gunpointmaleversusfemale,val_power,0.0026318456511944532
378,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run2,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
379,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run2,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
380,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run2,woFaults,proximalphalanxoutlinecorrect,val_power,0.0028251572512090206
381,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run2,wFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
382,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run2,wFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
383,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run2,wFaults,vertebralcolumn2clases,val_power,0.0012715081684291365
384,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run2,woFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
385,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run2,woFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
386,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run2,woFaults,vertebralcolumn2clases,val_power,0.00219499203376472
387,PSNN_wSurrGPT_woFaults_iris_run3,woFaults,iris,test_acc_mode_none,0.35483869910240173
388,PSNN_wSurrGPT_woFaults_iris_run3,woFaults,iris,test_acc_mode_single,0.32258063554763794
389,PSNN_wSurrGPT_woFaults_iris_run3,woFaults,iris,val_power,0.0014176354743540287
390,PSNN_wSurrGPT_wFaults_iris_run3,wFaults,iris,test_acc_mode_none,0.32258063554763794
391,PSNN_wSurrGPT_wFaults_iris_run3,wFaults,iris,test_acc_mode_single,0.32258063554763794
392,PSNN_wSurrGPT_wFaults_iris_run3,wFaults,iris,val_power,0.0016124204266816378
393,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run3,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
394,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run3,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
395,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run3,wFaults,proximalphalanxoutlinecorrect,val_power,0.00023886699636932465
396,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run3,woFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6813187003135681
397,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run3,woFaults,gunpointmaleversusfemale,test_acc_mode_single,0.7472527623176575
398,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run3,woFaults,gunpointmaleversusfemale,val_power,0.050232283771038055
399,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run3,wFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6263736486434937
400,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run3,wFaults,gunpointmaleversusfemale,test_acc_mode_single,0.6263736486434937
401,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run3,wFaults,gunpointmaleversusfemale,val_power,0.004350551404058933
402,PSNN_wSurrGPT_wFaults_freezersmalltrain_run3,wFaults,freezersmalltrain,test_acc_mode_none,0.5400000214576721
403,PSNN_wSurrGPT_wFaults_freezersmalltrain_run3,wFaults,freezersmalltrain,test_acc_mode_single,0.47999998927116394
404,PSNN_wSurrGPT_wFaults_freezersmalltrain_run3,wFaults,freezersmalltrain,val_power,0.004113593604415655
405,PSNN_wSurrGPT_woFaults_freezersmalltrain_run3,woFaults,freezersmalltrain,test_acc_mode_none,0.5400000214576721
406,PSNN_wSurrGPT_woFaults_freezersmalltrain_run3,woFaults,freezersmalltrain,test_acc_mode_single,0.47999998927116394
407,PSNN_wSurrGPT_woFaults_freezersmalltrain_run3,woFaults,freezersmalltrain,val_power,0.005650313105434179
408,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run3,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
409,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run3,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
410,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run3,woFaults,proximalphalanxoutlinecorrect,val_power,0.0006011544028297067
411,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run3,wFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
412,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run3,wFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
413,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run3,wFaults,vertebralcolumn2clases,val_power,0.001678006025031209
414,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run3,woFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
415,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run3,woFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
416,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run3,woFaults,vertebralcolumn2clases,val_power,0.0022806753404438496
417,PSNN_wSurrGPT_woFaults_iris_run4,woFaults,iris,test_acc_mode_none,0.32258063554763794
418,PSNN_wSurrGPT_woFaults_iris_run4,woFaults,iris,test_acc_mode_single,0.35483869910240173
419,PSNN_wSurrGPT_woFaults_iris_run4,woFaults,iris,val_power,0.0018384798895567656
420,PSNN_wSurrGPT_wFaults_iris_run4,wFaults,iris,test_acc_mode_none,0.35483869910240173
421,PSNN_wSurrGPT_wFaults_iris_run4,wFaults,iris,test_acc_mode_single,0.35483869910240173
422,PSNN_wSurrGPT_wFaults_iris_run4,wFaults,iris,val_power,0.0003778252576012165
423,PSNN_wSurrGPT_woFaults_tictactoe_run2,woFaults,tictactoe,test_acc_mode_none,0.7341772317886353
424,PSNN_wSurrGPT_woFaults_tictactoe_run2,woFaults,tictactoe,test_acc_mode_single,0.7341772317886353
425,PSNN_wSurrGPT_woFaults_tictactoe_run2,woFaults,tictactoe,val_power,0.0039808847941458225
426,PSNN_wSurrGPT_wFaults_tictactoe_run2,wFaults,tictactoe,test_acc_mode_none,0.6708860993385315
427,PSNN_wSurrGPT_wFaults_tictactoe_run2,wFaults,tictactoe,test_acc_mode_single,0.6708860993385315
428,PSNN_wSurrGPT_wFaults_tictactoe_run2,wFaults,tictactoe,val_power,0.006138787139207125
429,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run4,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
430,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run4,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
431,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run4,wFaults,proximalphalanxoutlinecorrect,val_power,0.03436961770057678
432,PSNN_wSurrGPT_woFaults_energyy2_run2,woFaults,energyy2,test_acc_mode_none,0.5189873576164246
433,PSNN_wSurrGPT_woFaults_energyy2_run2,woFaults,energyy2,test_acc_mode_single,0.7594936490058899
434,PSNN_wSurrGPT_woFaults_energyy2_run2,woFaults,energyy2,val_power,0.0011458629742264748
435,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run4,woFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6813187003135681
436,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run4,woFaults,gunpointmaleversusfemale,test_acc_mode_single,0.6373626589775085
437,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run4,woFaults,gunpointmaleversusfemale,val_power,0.0025003005284816027
438,PSNN_wSurrGPT_wFaults_freezersmalltrain_run4,wFaults,freezersmalltrain,test_acc_mode_none,0.4600000083446502
439,PSNN_wSurrGPT_wFaults_freezersmalltrain_run4,wFaults,freezersmalltrain,test_acc_mode_single,0.4600000083446502
