dataset,method,mean,std
acuteinflammation,no_fault,0.5600000023841858,0.20784610516732713
acuteinflammation,single_fault,0.5600000023841858,0.20784610516732713
balancescale,no_fault,0.8227848013242086,0.025316447019582886
balancescale,single_fault,0.848101278146108,0.03349051707888177
cbf,no_fault,0.6733333468437195,0.056862410454979716
cbf,single_fault,0.7799999912579855,0.020000010728843474
distalphalanxtw,no_fault,0.4600000083446502,0.0
distalphalanxtw,single_fault,0.4600000083446502,0.0
energyy1,no_fault,0.8481012582778931,0.0
energyy1,single_fault,0.8481012582778931,0.0
energyy2,no_fault,0.7299578189849854,0.17463460479668994
energyy2,single_fault,0.74683545033137,0.04384938971141193
freezersmalltrain,no_fault,0.5133333504199982,0.046188029105976795
freezersmalltrain,single_fault,0.5133333504199982,0.046188029105976795
gunpointmaleversusfemale,no_fault,0.7142857313156128,0.0571005726702397
gunpointmaleversusfemale,single_fault,0.692307710647583,0.06684354030480572
gunpointoldversusyoung,no_fault,1.0,0.0
gunpointoldversusyoung,single_fault,1.0,0.0
iris,no_fault,0.3333333233992259,0.018624201676878935
iris,single_fault,0.3333333233992259,0.018624201676878935
powercons,no_fault,0.4861111044883728,0.0
powercons,single_fault,0.5879629651705424,0.04243124415057793
proximalphalanxoutlinecorrect,no_fault,0.6600000262260437,0.0
proximalphalanxoutlinecorrect,single_fault,0.6600000262260437,0.0
seeds,no_fault,0.3488372166951497,0.1611210133582113
seeds,single_fault,0.25581395626068115,0.0
selfregulationscp2,no_fault,0.5263158082962036,0.0
selfregulationscp2,single_fault,0.5263158082962036,0.0
slope,no_fault,0.5,0.0
slope,single_fault,0.5,0.0
tictactoe,no_fault,0.7932489315668741,0.05115759265268249
tictactoe,single_fault,0.7046413620313009,0.03867153110838995
vertebralcolumn2clases,no_fault,0.6349206566810608,0.0
vertebralcolumn2clases,single_fault,0.6349206566810608,0.0
